,x,y
0,-13415779.990983497,4805173.119382858
1,-13507966.247494107,4643180.956353146
2,-13361806.512761697,4101614.999190916
3,-13419995.77549519,4608440.766437831
4,-13261022.486611571,4077217.6604329315
5,-13164715.737693282,4055952.7035447834
6,-13683724.453609064,4653999.533428067
7,-13337781.917167796,4311086.605668895
8,-12998817.270747693,3899193.067838595
9,-13438151.747716442,4730832.105535272
10,-13658223.175250415,4545545.109443995
11,-13664357.953709481,4587265.391376264
12,-13347798.71304182,4520544.017815894
13,-13424561.826618694,4964653.5648729885
14,-13617782.878361672,4651299.751934591
15,-13585442.49481182,4977736.25609424
16,-13504172.30060324,4333889.568663438
17,-13704756.858327715,4961356.10989873
18,-13740352.225096993,4784353.037661049
19,-13070399.764656687,4371780.456421298
20,-13234565.307499826,4571084.902422836
21,-13353293.168007528,4583413.865432243
22,-13574290.237781323,4617254.0382884
23,-12933030.238988772,4142962.5797485546
24,-13575553.381978963,4568633.609505044
25,-13338378.356055763,4664193.369304494
26,-13416721.619274447,4690081.152775904
27,-13570058.966071764,4676952.2379092295
28,-13508732.057022024,4760356.870669456
29,-13478059.2048128,4384383.518703097
30,-13794219.318844594,4969466.512057009
31,-12912370.869031409,3994510.2583241146
32,-13217007.457763381,4210767.385214902
33,-13607382.152579451,4747197.011465408
34,-13798929.078291617,5122939.483847871
35,-13439051.104552316,5099925.209802823
36,-13319075.050166452,4405779.802764212
37,-13331801.25390349,4469716.623373413
38,-13547194.093189018,4471621.760052723
39,-13606980.123397194,4884320.450132408
40,-13499860.48326485,4570311.68853125
41,-13571851.916158421,4530207.177611062
42,-13443873.443134319,4764975.635743505
43,-13536524.666709872,4817778.115672174
44,-13438191.468644926,4465990.319206615
45,-13224814.985685144,4331137.131817937
46,-13469356.049467688,4517436.527289056
47,-13110793.017794931,3985544.004393454
48,-12842409.162656955,3900656.423271775
49,-13547027.299233014,4726692.995942101
50,-13430791.033881508,4642707.570859683
51,-13664858.368582338,4736106.853719061
52,-13451730.596901337,4866740.473566578
53,-13620576.612546524,4500160.133383474
54,-13641131.482284,5100360.4310088195
55,-13582080.955277704,4442146.137370988
56,-13624650.763098244,4807799.345999167
57,-13408759.602894058,4216796.820212255
